 step     T          P        Pxy       etotal     epotential      ebonded     ekinetic
 3390   0.9742    0.48785 -0.00755   577689.733     1286.611   547172.284    29230.838
 3400   0.9740    0.49055 -0.00598   577669.414     1285.986   547156.444    29226.984
 3410   0.9740    0.49316 -0.00430   577649.185     1281.530   547141.511    29226.144
 3420   0.9738    0.49560 -0.00253   577620.895     1272.746   547127.063    29221.087
 3430   0.9737    0.49768 -0.00076   577605.405     1274.629   547114.750    29216.026
 3440   0.9734    0.49937  0.00090   577595.893     1283.634   547104.719    29207.539
 3450   0.9732    0.50083  0.00254   577584.138     1287.023   547096.071    29201.045
 3460   0.9731    0.50212  0.00429   577569.576     1280.764   547088.928    29199.884
 3470   0.9731    0.50320  0.00613   577557.244     1274.213   547083.060    29199.971
 3480   0.9731    0.50412  0.00774   577548.636     1271.139   547077.967    29199.531
 3490   0.9730    0.50476  0.00929   577539.505     1270.444   547074.158    29194.903
 3500   0.9732    0.50532  0.01102   577539.262     1266.653   547071.468    29201.141
